year;loc;blk;plt;pgl;genPlan;gen;yld;Lager;HL;HLG;Fraktion;TKM;pltb;MT;ZR;NF;RH;HB
y17;bre;b1;60;RGS132;D33ETI02;D33ETI02;NA;1;2;64,6;77,7;37,76;560;8;3;1;1;7
y17;bre;b2;92;RGS133;D33ETI03;MER;89,03666667;NA;NA;NA;NA;NA;592;6;2;1;1;6
y17;bre;b5;261;RGS134;D33ETI04;D33ETI04;80,82833333;1;4;62,6;60,8;36,06;761;6;3;1;1;7
y17;bre;b5;283;RGS135;D33ETI05;D33ETI05;79,90833333;1;1;64,4;73,3;39,16;783;7;6;1;1;9
y17;bre;b1;6;RGS136;D33ETI06;D33ETI06;83,125;1;2;66,6;88,6;43,32;506;9;3;1;1;7
y17;bre;b4;217;RGS137;D33ETI07;D33ETI07;55,76666667;2;2;64,9;81,3;37,26;717;8;7;1;1;7
y17;bre;b4;238;RGS138;D33ETI08;MER;86,985;NA;NA;NA;NA;NA;738;9;7;1;1;9
y17;bre;b4;207;RGS139;D33ETI09;D33ETI09;66,745;1;2;65,5;79,2;39,47;707;8;6;1;1;8
y17;bre;b2;116;RGS140;D33ETI10;D33ETI10;81,194;1;1;64,6;77,7;38,89;616;4;6;1;1;7
y17;bre;b3;122;RGS141;D33ETI11;MER;82,015;NA;NA;NA;NA;NA;622;5;2;1;1;4
y17;bre;b3;139;RGS142;D33ETI12;D33ETI12;80,12666667;1;3;65,5;77,7;38,24;639;6;3;4;1;6
y17;bre;b2;105;RGS143;D33ETI13;D33ETI13;80,67833333;1;1;64,5;75;39,03;605;7;3;1;1;7
y17;bre;b1;19;RGS144;D33ETI14;D33ETI14;83,99333333;1;2;65,4;82,9;39,35;519;6;5;1;1;7
y17;bre;b5;289;RGS145;D33ETI15;MER;96,99833333;NA;NA;NA;NA;NA;789;3;3;3;1;7
y17;bre;b1;8;RGS146;D33ETI16;D33ETI16;79,90666667;1;1;65,7;86,4;39,69;508;9;5;1;1;8
y17;bre;b3;148;RGS147;D33ETI17;D33ETI17;77;1;3;65,5;82,7;38,16;648;9;3;1;1;8
y17;bre;b4;194;RGS148;D33ETI18;MER;87,43166667;NA;NA;NA;NA;NA;694;8;7;1;1;8
y17;bre;b1;2;RGS149;D33ETI19;D33ETI19;86,464;1;2;65,1;90,6;40,53;502;4;6;1;1;5
y17;bre;b2;108;RGS150;D33ETI20;D33ETI20;80,78833333;1;4;66,8;81,8;41,77;608;5;3;1;5;7
y17;bre;b2;109;RGS151;D37QUA01;D37QUA01;77,42333333;1;4;66,3;81,4;40,66;609;3;7;1;1;6
y17;bre;b3;151;RGS152;D37QUA02;D37QUA02;75,555;2;3;65,1;89,9;45,91;651;6;4;1;1;5
y17;bre;b2;94;RGS153;D37QUA03;D37QUA03;73,70333333;4;5;65,6;79,8;39,06;594;3;5;1;1;8
y17;bre;b3;132;RGS154;D37QUA04;D37QUA04;83,72833333;1;1;67,8;95,1;44,99;632;3;6;4;1;6
y17;bre;b3;145;RGS155;D37QUA05;D37QUA05;75,35;1;1;64,9;83,8;39,35;645;3;4;1;1;5
y17;bre;b4;225;RGS156;D37QUA06;D37QUA06;75,19666667;7;7;64,0;80,2;41,62;725;3;4;1;1;9
y17;bre;b1;38;RGS157;D37QUA07;MER;88,44333333;NA;NA;NA;NA;NA;538;5;8;1;1;7
y17;bre;b4;189;RGS158;D37QUA08;D37QUA08;78,90666667;3;6;64,9;77,8;38,89;689;4;3;1;1;7
y17;bre;b5;280;RGS159;D37QUA09;D37QUA09;81,794;1;1;65,9;88,9;43,16;780;5;4;1;1;6
y17;bre;b1;55;RGS160;D37QUA10;D37QUA10;74,27666667;2;4;66,1;88,6;42,02;555;7;7;1;1;8
y17;bre;b4;201;RGS161;D37QUA11;D37QUA11;69,57333333;1;3;63,0;43,4;35,31;701;5;4;1;1;4
y17;bre;b5;246;RGS162;D37QUA12;MER;89,51333333;NA;NA;NA;NA;NA;746;4;8;1;4;9
y17;bre;b4;224;RGS163;D37QUA13;D37QUA13;75,948;5;6;66,4;78,2;40,29;724;3;4;1;1;6
y17;bre;b5;298;RGS164;D37QUA14;NA;89,65;NA;NA;NA;NA;NA;798;3;7;1;1;8
y17;bre;b3;180;RGS165;D37QUA15;D37QUA15;81,63333333;1;3;65,9;77,1;43,31;680;5;6;1;1;5
y17;bre;b5;282;RGS166;D37QUA16;D37QUA16;91,32166667;1;2;65,8;80,8;42,68;782;3;5;1;1;7
y17;bre;b2;81;RGS167;D37QUA17;D37QUA17;78,77233333;1;4;65,7;83,7;39,78;581;4;7;1;1;7
y17;bre;b3;158;RGS168;D37QUA18;D37QUA18;74,50666667;1;2;66,9;94,2;46,31;658;7;6;1;1;7
y17;bre;b5;290;RGS169;D37QUA19;MER;91,18133333;NA;NA;NA;NA;NA;790;6;6;1;1;6
y17;bre;b2;106;RGS170;D37QUA20;D37QUA20;58,66133333;7;7;65,9;73,7;40,99;606;3;5;1;1;6
y17;bre;b2;100;RGS171;D37QUA21;D37QUA21;75,273;1;3;64,8;77,7;40,73;600;5;8;1;1;7
y17;bre;b4;235;RGS172;D37QUA22;D37QUA22;83,735;1;3;66,2;75,7;41,13;735;4;4;1;1;6
y17;bre;b2;93;RGS173;D37QUA23;D37QUA23;78,47266667;1;3;64,6;78,3;44,81;593;5;3;1;1;7
y17;bre;b3;166;RGS174;D37QUA24;D37QUA24;77,98166667;7;7;65,2;77,5;45,33;666;5;4;1;1;5
y17;bre;b4;202;RGS175;D37QUA25;D37QUA25;77,49333333;1;2;68,6;92,1;42,74;702;4;7;1;1;5
y17;bre;b3;164;RGS176;D37QUA26;D37QUA26;77,26166667;1;2;65,5;75;38,90;664;6;4;1;1;6
