year;loc;blk;plt;pgl;genPlan;gen;yld;Lager;HLG;pltb;MT;ZR;NF;RAM;RH
y17;ack;b2;113;RGS226;ANTQUA10;ANTQUA10;105,3981232;1;61,32;191;1;1;2;1;1
y17;ack;b5;430;RGS227;ANTQUA11;ANTQUA11;98,28076295;1;61,82;382;1;1;1;3;1
y17;ack;b3;236;RGS228;ANTQUA12;ANTQUA12;109,1518768;8;61,32;287;1;1;2;2;1
y17;ack;b3;216;RGS229;ANTETI01;ANTETI01;107,3036312;1;61,82;254;3;2;1;1;2
y17;ack;b4;315;RGS230;ANTETI02;ANTETI02;114,9662179;1;60,91;313;4;1;1;4;2
y17;ack;b2;145;RGS231;ANTETI03;ANTETI03;91,69449204;1;65,45;224;1;2;1;2;1
y17;ack;b1;25;RGS232;ANTETI04;ANTETI04;104,4102407;1;64,09;137;1;1;2;1;1
y17;ack;b2;122;RGS233;ANTETI05;ANTETI05;105,6568747;1;66,32;235;1;1;1;3;5
y17;ack;b3;202;RGS234;ANTETI06;ANTETI06;123,9822929;1;61,82;246;1;2;2;2;1
y17;ack;b3;242;RGS235;ANTETI07;ANTETI07;110,9337209;8;63,64;268;3;4;1;1;1
y17;ack;b4;316;RGS236;ANTETI08;ANTETI08;109,1880661;1;59,5;314;1;1;1;1;9
y17;ack;b4;347;RGS237;ANTETI09;ANTETI09;102,5037944;4;59,5;342;1;1;1;3;8
y17;ack;b4;326;RGS238;ANTETI10;ANTETI10;104,2375153;2;62,68;318;5;2;1;2;1
y17;ack;b5;442;RGS239;ANTETI11;ANTETI11;103,7557936;1;64,5;388;1;1;2;3;2
y17;ack;b3;250;RGS240;ANTETI12;ANTETI12;106,3055896;1;64,09;270;1;3;1;1;3
y17;ack;b3;246;RGS241;ANTETI13;ANTETI13;105,4608323;2;60;283;1;1;1;2;2
y17;ack;b3;258;RGS242;ANTETI14;ANTETI14;101,1224806;1;58,64;277;1;2;1;2;1
y17;ack;b4;335;RGS243;ANTETI15;MER;103,4700122;1;64,09;348;1;1;1;1;6
y17;ack;b2;130;RGS244;ANTETI16;ANTETI16;107,8366993;9;65,45;202;1;1;2;1;5
y17;ack;b2;135;RGS245;ANTETI17;ANTETI17;95,86448388;7;65,91;228;1;3;1;4;1
y17;ack;b5;450;RGS246;ANTETI18;ANTETI18;100,6269278;1;65,91;390;1;3;1;4;1
y17;ack;b2;128;RGS247;ANTOTT01;ANTOTT01;110,1777234;1;62,68;200;1;1;1;1;1
y17;ack;b3;221;RGS248;ANTOTT02;ANTOTT02;98,97396981;2;60,86;296;1;1;1;4;1
y17;ack;b3;234;RGS249;ANTOTT03;ANTOTT03;110,8346797;7;55,91;289;1;1;1;2;1
y17;ack;b1;1;RGS250;ANTOTT04;ANTOTT04;112,4832313;1;64,09;125;1;1;2;1;4
y17;ack;b1;8;RGS251;101;101;112,9488984;1;66,32;183;1;1;1;2;4
y17;ack;b2;156;RGS251;101;101;107,8680131;1;63,64;219;1;1;1;1;9
y17;ack;b3;220;RGS251;101;101;99,46511628;2;61,82;297;7;2;1;3;1
y17;ack;b4;332;RGS251;101;NA;104,9064871;4;59,95;351;3;8;1;1;1
y17;ack;b5;444;RGS251;101;NA;101,8745818;1;63,64;405;1;1;1;1;9
y17;ack;b1;41;RGS252;146;146;77,35454916;4;61,82;147;4;4;1;1;2
y17;ack;b2;117;RGS252;146;MER;98,13494492;3;64,5;195;2;1;2;1;1
y17;ack;b3;205;RGS252;146;MER;94,26878825;3;60,45;249;1;3;1;1;3
y17;ack;b4;353;RGS252;146;MER;107,6304366;1;60,86;333;2;3;2;1;2
y17;ack;b5;429;RGS252;146;MER;96,63333333;1;61,32;381;1;1;3;1;5
y17;ack;b1;32;RGS253;D33;D33;65,71511628;8;59,95;171;9;5;1;1;1
y17;ack;b2;108;RGS253;D33;D33;68,59600163;4;63,18;243;9;6;1;1;1
y17;ack;b3;244;RGS253;D33;D33;57,84251326;5;57,27;285;1;1;3;1;1
y17;ack;b4;320;RGS253;D33;D33;71,76727866;7;63,59;357;9;3;1;1;4
y17;ack;b5;456;RGS253;D33;D33;60,32982456;7;59,55;399;2;1;1;2;2
y17;ack;b1;53;RGS254;D37;D37;77,01685027;8;59,55;153;1;7;1;1;6
