year;loc;rep;blk;plt;pgl;genPlan;gen;yld
y17;ack;r1;b3;225;RGS220;ANTQUA04;ANTQUA04;105,9296614
y17;ack;r1;b1;51;RGS221;ANTQUA05;ANTQUA05;98,41835985
y17;ack;r1;b5;403;RGS222;ANTQUA06;ANTQUA06;104,1369237
y17;ack;r1;b3;201;RGS223;ANTQUA07;ANTQUA07;126,6852305
y17;ack;r1;b4;338;RGS224;ANTQUA08;ANTQUA08;102,0428397
y17;ack;r1;b5;454;RGS225;ANTQUA09;ANTQUA09;100,255508
y17;ack;r1;b2;113;RGS226;ANTQUA10;ANTQUA10;105,3981232
y17;ack;r1;b5;430;RGS227;ANTQUA11;ANTQUA11;98,28076295
y17;ack;r1;b3;236;RGS228;ANTQUA12;ANTQUA12;109,1518768
y17;ack;r1;b3;216;RGS229;ANTETI01;ANTETI01;107,3036312
y17;ack;r1;b4;315;RGS230;ANTETI02;ANTETI02;114,9662179
y17;ack;r1;b2;145;RGS231;ANTETI03;ANTETI03;91,69449204
y17;ack;r1;b1;25;RGS232;ANTETI04;ANTETI04;104,4102407
y17;ack;r1;b2;122;RGS233;ANTETI05;ANTETI05;105,6568747
y17;ack;r1;b3;202;RGS234;ANTETI06;ANTETI06;123,9822929
y17;ack;r1;b3;242;RGS235;ANTETI07;ANTETI07;110,9337209
y17;ack;r1;b4;316;RGS236;ANTETI08;ANTETI08;109,1880661
y17;ack;r1;b4;347;RGS237;ANTETI09;ANTETI09;102,5037944
y17;ack;r1;b4;326;RGS238;ANTETI10;ANTETI10;104,2375153
y17;ack;r1;b5;442;RGS239;ANTETI11;ANTETI11;103,7557936
y17;ack;r1;b3;250;RGS240;ANTETI12;ANTETI12;106,3055896
y17;ack;r1;b3;246;RGS241;ANTETI13;ANTETI13;105,4608323
y17;ack;r1;b3;258;RGS242;ANTETI14;ANTETI14;101,1224806
y17;ack;r1;b4;335;RGS243;ANTETI15;MER;103,4700122
y17;ack;r1;b2;130;RGS244;ANTETI16;ANTETI16;107,8366993
y17;ack;r1;b2;135;RGS245;ANTETI17;ANTETI17;95,86448388
y17;ack;r1;b5;450;RGS246;ANTETI18;ANTETI18;100,6269278
y17;ack;r1;b2;128;RGS247;ANTOTT01;ANTOTT01;110,1777234
y17;ack;r1;b3;221;RGS248;ANTOTT02;ANTOTT02;98,97396981
y17;ack;r1;b3;234;RGS249;ANTOTT03;ANTOTT03;110,8346797
y17;ack;r1;b1;1;RGS250;ANTOTT04;ANTOTT04;112,4832313
y17;ack;r1;b1;8;RGS251;101;101;112,9488984
y17;ack;r1;b2;156;RGS251;101;101;107,8680131
y17;ack;r1;b3;220;RGS251;101;101;99,46511628
y17;ack;r1;b4;332;RGS251;101;NA;104,9064871
y17;ack;r1;b5;444;RGS251;101;NA;101,8745818
y17;ack;r1;b1;41;RGS252;146;146;77,35454916
y17;ack;r1;b2;117;RGS252;146;MER;98,13494492
y17;ack;r1;b3;205;RGS252;146;MER;94,26878825
y17;ack;r1;b4;353;RGS252;146;MER;107,6304366
y17;ack;r1;b5;429;RGS252;146;MER;96,63333333
y17;ack;r1;b1;32;RGS253;D33;D33;65,71511628
