year;loc;rep;blk;plt;BlockX;BlockY;pgl;genPlan;gen;yld
y17;lim;r1;b3;254;8;6;RGS066;146QUA06;146QUA06;89,52380952
y17;lim;r1;b3;255;7;6;RGS137;D33ETI07;D33ETI07;73,01587302
y17;lim;r1;b3;256;6;6;RGS233;ANTETI05;ANTETI05;79,36507937
y17;lim;r1;b3;257;5;6;RGS177;D37QUA27;D37QUA27;71,42857143
y17;lim;r1;b3;258;4;6;RGS130;D33QUA08;D33QUA08;81,11111111
y17;lim;r1;b3;259;3;6;RGS251;101;101;78,41269841
y17;lim;r1;b3;260;2;6;RGS074;146JEN04;146JEN04;72,85714286
y17;lim;r1;b4;301;2;7;RGS053;146MER03;146MER03;85,3968254
y17;lim;r1;b4;302;3;7;RGS018;101MER18;101MER18;71,42857143
y17;lim;r1;b4;303;4;7;RGS081;146ETI04;146ETI04;63,65079365
y17;lim;r1;b4;304;5;7;RGS065;146QUA05;146QUA05;88,73015873
y17;lim;r1;b4;305;6;7;RGS252;146;146;68,25396825
y17;lim;r1;b4;306;7;7;RGS116;D33MER16;D33MER16;89,68253968
y17;lim;r1;b4;307;8;7;RGS054;146MER04;146MER04;86,66666667
y17;lim;r1;b4;308;9;7;RGS093;146OTT03;146OTT03;79,52380952
y17;lim;r1;b4;309;10;7;RGS241;ANTETI13;ANTETI13;104,2857143
y17;lim;r1;b4;310;11;7;RGS039;101ETI07;101ETI07;92,6984127
y17;lim;r1;b4;311;12;7;RGS258;ETI;ETI;105,5555556
y17;lim;r1;b4;312;13;7;RGS044;101ETI12;101ETI12;71,11111111
y17;lim;r1;b4;313;14;7;RGS172;D37QUA22;MER;105,8730159
y17;lim;r1;b4;314;15;7;RGS173;D37QUA23;D37QUA23;103,3333333
y17;lim;r1;b4;315;16;7;RGS200;D37OTT13;MER;100
y17;lim;r1;b4;316;17;7;RGS228;ANTQUA12;ANTQUA12;102,6984127
y17;lim;r1;b4;317;18;7;RGS256;ANT;ANT;94,92063492
y17;lim;r1;b4;318;19;7;RGS174;D37QUA24;D37QUA24;86,66666667
y17;lim;r1;b4;319;20;7;RGS212;ANTMER12;ANTMER12;107,9365079
y17;lim;r1;b4;320;21;7;RGS057;146MER07;146MER07;97,3015873
y17;lim;r1;b4;321;22;7;RGS100;146OTT10;146OTT10;78,88888889
y17;lim;r1;b4;322;23;7;RGS090;146ETI14;146ETI14;73,80952381
y17;lim;r1;b4;323;24;7;RGS260;QUA;QUA;104,7619048
y17;lim;r1;b4;324;25;7;RGS109;D33MER09;D33MER09;92,38095238
y17;lim;r1;b4;325;26;7;RGS183;D37QUA33;D37QUA33;103,3333333
y17;lim;r1;b4;326;27;7;RGS099;146OTT09;146OTT09;80
y17;lim;r1;b4;327;28;7;RGS236;ANTETI08;ANTETI08;89,52380952
y17;lim;r1;b4;328;29;7;RGS005;101MER05;101MER05;85,55555556
y17;lim;r1;b4;329;30;7;RGS254;D37;D37;73,01587302
y17;lim;r1;b4;330;31;7;RGS154;D37QUA04;D37QUA04;99,36507937
y17;lim;r1;b4;331;31;8;RGS078;146ETI01;146ETI01;92,53968254
y17;lim;r1;b4;332;30;8;RGS022;101JEN02;MER;95,23809524
y17;lim;r1;b4;333;29;8;RGS046;101ETI14;101ETI14;86,19047619
y17;lim;r1;b4;334;28;8;RGS141;D33ETI11;MER;95,23809524
y17;lim;r1;b4;335;27;8;RGS259;JEN;JEN;106,984127
y17;lim;r1;b4;336;26;8;RGS132;D33ETI02;D33ETI02;94,76190476
y17;lim;r1;b4;337;25;8;RGS190;D37OTT03;D37OTT03;85,07936508
y17;lim;r1;b4;338;24;8;RGS150;D33ETI20;D33ETI20;96,19047619
y17;lim;r1;b4;339;23;8;RGS215;ANTMER15;ANTMER15;97,77777778
y17;lim;r1;b4;340;22;8;RGS026;101JEN06;101JEN06;91,26984127
y17;lim;r1;b4;341;21;8;RGS255;OTT;OTT;101,1111111
y17;lim;r1;b4;342;20;8;RGS094;146OTT04;146OTT04;71,42857143
y17;lim;r1;b4;343;19;8;RGS244;ANTETI16;ANTETI16;88,41269841
y17;lim;r1;b4;344;18;8;RGS126;D33QUA04;D33QUA04;102,3809524
y17;lim;r1;b4;345;17;8;RGS217;ANTQUA01;ANTQUA01;103,4920635
y17;lim;r1;b4;346;16;8;RGS127;D33QUA05;D33QUA05;99,20634921
y17;lim;r1;b4;347;15;8;RGS251;101;101;73,33333333
y17;lim;r1;b4;348;14;8;RGS234;ANTETI06;ANTETI06;107,1428571
y17;lim;r1;b4;349;13;8;RGS138;D33ETI08;D33ETI08;89,52380952
y17;lim;r1;b4;350;12;8;RGS027;101JEN07;101JEN07;84,92063492
y17;lim;r1;b4;351;11;8;RGS073;146JEN03;MER;95,23809524
y17;lim;r1;b4;352;10;8;RGS161;D37QUA11;D37QUA11;81,42857143
y17;lim;r1;b4;353;9;8;RGS253;D33;D33;78,73015873
y17;lim;r1;b4;354;8;8;RGS080;146ETI03;146ETI03;79,36507937
y17;lim;r1;b4;355;7;8;RGS011;101MER11;101MER11;100,6349206
y17;lim;r1;b4;356;6;8;RGS169;D37QUA19;D37QUA19;93,01587302
y17;lim;r1;b4;357;5;8;RGS134;D33ETI04;D33ETI04;94,12698413
y17;lim;r1;b4;358;4;8;RGS162;D37QUA12;D37QUA12;91,74603175
y17;lim;r1;b4;359;3;8;RGS257;MER;MER;105,0793651
y17;lim;r1;b4;360;2;8;RGS179;D37QUA29;D37QUA29;86,98412698
y17;lim;r1;b5;401;2;9;RGS033;101ETI01;101ETI01;71,58730159
y17;lim;r1;b5;402;3;9;RGS186;D37QUA36;D37QUA36;82,38095238
y17;lim;r1;b5;403;4;9;RGS182;D37QUA32;D37QUA32;76,34920635
y17;lim;r1;b5;404;5;9;RGS191;D37OTT04;D37OTT04;93,33333333
y17;lim;r1;b5;405;6;9;RGS254;D37;D37;75,55555556
y17;lim;r1;b5;406;7;9;RGS187;D37QUA37;D37QUA37;80,79365079
y17;lim;r1;b5;407;8;9;RGS131;D33ETI01;D33ETI01;92,53968254
y17;lim;r1;b5;408;9;9;RGS250;ANTOTT04;ANTOTT04;102,5396825
y17;lim;r1;b5;409;10;9;RGS185;D37QUA35;D37QUA35;81,58730159
y17;lim;r1;b5;410;11;9;RGS193;D37OTT06;D37OTT06;NA
y17;lim;r1;b5;411;12;9;RGS260;QUA;QUA;106,031746
y17;lim;r1;b5;412;13;9;RGS164;D37QUA14;MER;105,7142857
y17;lim;r1;b5;413;14;9;RGS206;ANTMER06;ANTMER06;107,9365079
y17;lim;r1;b5;414;15;9;RGS085;146ETI08;146ETI08;77,93650794
y17;lim;r1;b5;415;16;9;RGS151;D37QUA01;D37QUA01;76,98412698
y17;lim;r1;b5;416;17;9;RGS115;D33MER15;D33MER15;101,7460317
y17;lim;r1;b5;417;18;9;RGS258;ETI;ETI;103,015873
y17;lim;r1;b5;418;19;9;RGS227;ANTQUA11;ANTQUA11;96,82539683
y17;lim;r1;b5;419;20;9;RGS144;D33ETI14;D33ETI14;95,23809524
y17;lim;r1;b5;420;21;9;RGS232;ANTETI04;ANTETI04;107,3015873
y17;lim;r1;b5;421;22;9;RGS043;101ETI11;101ETI11;92,85714286
y17;lim;r1;b5;422;23;9;RGS211;ANTMER11;ANTMER11;107,9365079
y17;lim;r1;b5;423;24;9;RGS252;146;146;65,23809524
y17;lim;r1;b5;424;25;9;RGS195;D37OTT08;D37OTT08;84,12698413
y17;lim;r1;b5;425;26;9;RGS086;146ETI09;146ETI09;78,73015873
y17;lim;r1;b5;426;27;9;RGS028;101JEN08;101JEN08;92,06349206
y17;lim;r1;b5;427;28;9;RGS210;ANTMER10;ANTMER10;108,8888889
y17;lim;r1;b5;428;29;9;RGS071;146JEN01;146JEN01;75,71428571
y17;lim;r1;b5;429;30;9;RGS256;ANT;ANT;95,23809524
y17;lim;r1;b5;430;31;9;RGS050;101OTT09;101OTT09;91,42857143
y17;lim;r1;b5;431;31;10;RGS160;D37QUA10;MER;98,88888889
y17;lim;r1;b5;432;30;10;RGS104;D33MER04;D33MER04;93,33333333
y17;lim;r1;b5;433;29;10;RGS128;D33QUA06;MER;98,57142857
y17;lim;r1;b5;434;28;10;RGS140;D33ETI10;D33ETI10;87,93650794
y17;lim;r1;b5;435;27;10;RGS251;101;101;87,3015873
y17;lim;r1;b5;436;26;10;RGS017;101MER17;101MER17;82,85714286
y17;lim;r1;b5;437;25;10;RGS129;D33QUA07;D33QUA07;105,3968254
y17;lim;r1;b5;438;24;10;RGS002;101MER02;101MER02;95,55555556
y17;lim;r1;b5;439;23;10;RGS148;D33ETI18;D33ETI18;89,20634921
y17;lim;r1;b5;440;22;10;RGS108;D33MER08;D33MER08;86,82539683
y17;lim;r1;b5;441;21;10;RGS257;MER;MER;104,6031746
y17;lim;r1;b5;442;20;10;RGS155;D37QUA05;D37QUA05;100,7936508
y17;lim;r1;b5;443;19;10;RGS048;101OTT05;101OTT05;68,25396825
y17;lim;r1;b5;444;18;10;RGS247;ANTOTT01;ANTOTT01;99,04761905
y17;lim;r1;b5;445;17;10;RGS069;146QUA09;146QUA09;92,6984127
y17;lim;r1;b5;446;16;10;RGS124;D33QUA02;D33QUA02;104,2857143
y17;lim;r1;b5;447;15;10;RGS253;D33;D33;75,3968254
y17;lim;r1;b5;448;14;10;RGS207;ANTMER07;ANTMER07;98,0952381
y17;lim;r1;b5;449;13;10;RGS163;D37QUA13;D37QUA13;82,22222222
y17;lim;r1;b5;450;12;10;RGS035;101ETI03;101ETI03;58,73015873
y17;lim;r1;b5;451;11;10;RGS168;D37QUA18;D37QUA18;83,65079365
y17;lim;r1;b5;452;10;10;RGS006;101MER06;101MER06;64,76190476
y17;lim;r1;b5;453;9;10;RGS255;OTT;OTT;92,38095238
y17;lim;r1;b5;454;8;10;RGS060;146MER10;146MER10;65,3968254
y17;lim;r1;b5;455;7;10;RGS175;D37QUA25;D37QUA25;94,12698413
y17;lim;r1;b5;456;6;10;RGS070;146QUA10;146QUA10;86,98412698
y17;lim;r1;b5;457;5;10;RGS153;D37QUA03;D37QUA03;75,23809524
y17;lim;r1;b5;458;4;10;RGS143;D33ETI13;D33ETI13;84,6031746
y17;lim;r1;b5;459;3;10;RGS259;JEN;JEN;104,1269841
y17;lim;r1;b5;460;2;10;RGS102;D33MER02;D33MER02;82,38095238
