year;loc;blk;plt;BlockX;BlockY;pgl;genPlan;gen;yld;Lager1;Lager2;Lager;HLG;Fraktion;TKM;pltb;MT;ZR
y17;lim;b4;324;25;7;RGS109;D33MER09;D33MER09;92,38095238;1;1;3;66,1;80,7;40,5;109;2;4
y17;lim;b2;140;22;4;RGS110;D33MER10;D33MER10;98,57142857;1;1;4;64,9;78,3;42;110;3;4
y17;lim;b1;45;17;2;RGS111;D33MER11;D33MER11;90,79365079;1;3;3;65,3;80,8;37,6;111;4;4
y17;lim;b2;143;19;4;RGS112;D33MER12;D33MER12;88,57142857;1;1;3;65,3;87,3;42,9;112;7;5
y17;lim;b1;25;26;1;RGS113;D33MER13;D33MER13;90,47619048;1;1;1;66,1;94,7;46,1;113;4;6
y17;lim;b3;246;16;6;RGS114;D33MER14;D33MER14;93,49206349;1;2;3;63,8;78,7;41,5;114;4;5
y17;lim;b5;416;17;9;RGS115;D33MER15;D33MER15;101,7460317;1;1;2;65,3;72,6;38,6;115;3;6
y17;lim;b4;306;7;7;RGS116;D33MER16;D33MER16;89,68253968;1;1;1;64,2;93;43,3;116;2;6
y17;lim;b1;55;7;2;RGS117;D33MER17;D33MER17;90;2;1;2;64,9;95,9;46,5;117;2;4
y17;lim;b3;228;29;5;RGS118;D33MER18;D33MER18;89,36507937;1;1;2;65,7;87,1;44,2;118;2;7
y17;lim;b3;212;13;5;RGS119;D33MER19;D33MER19;92,85714286;1;1;1;65,3;89,6;39,7;119;5;5
y17;lim;b1;4;5;1;RGS120;D33MER20;D33MER20;82,6984127;1;1;3;64,5;76,1;39,5;120;2;5
y17;lim;b1;14;15;1;RGS121;D33MER21;D33MER21;100;1;1;2;66,5;93,4;45,5;121;2;4
y17;lim;b3;224;25;5;RGS122;D33MER22;MER;100,3174603;1;1;1;66,9;94,6;48,1;122;4;4
y17;lim;b1;12;13;1;RGS123;D33QUA01;D33QUA01;94,12698413;1;1;1;68;88,8;47,8;123;2;5
y17;lim;b5;446;16;10;RGS124;D33QUA02;D33QUA02;104,2857143;1;1;3;66,1;90,6;46,5;124;1;3
y17;lim;b1;58;4;2;RGS125;D33QUA03;D33QUA03;86,98412698;1;1;4;66,9;88,8;44,2;125;2;4
y17;lim;b4;344;18;8;RGS126;D33QUA04;D33QUA04;102,3809524;1;1;1;65,7;86,8;47,2;126;1;4
y17;lim;b4;346;16;8;RGS127;D33QUA05;D33QUA05;99,20634921;1;1;1;65,7;84,5;45,2;127;3;4
y17;lim;b5;433;29;10;RGS128;D33QUA06;MER;98,57142857;1;1;3;66,5;91,1;44,6;128;5;5
y17;lim;b5;437;25;10;RGS129;D33QUA07;D33QUA07;105,3968254;1;1;3;68;86,6;46,5;129;2;4
y17;lim;b3;258;4;6;RGS130;D33QUA08;D33QUA08;81,11111111;1;1;1;63,4;72,2;42,7;130;2;5
y17;lim;b5;407;8;9;RGS131;D33ETI01;D33ETI01;92,53968254;1;1;3;66,5;80,1;44,2;131;3;5
y17;lim;b4;336;26;8;RGS132;D33ETI02;D33ETI02;94,76190476;1;1;4;64,9;61,4;37,5;132;3;4
y17;lim;b3;207;8;5;RGS133;D33ETI03;MER;99,20634921;1;1;4;64,9;89,3;45,2;133;3;3
y17;lim;b4;357;5;8;RGS134;D33ETI04;D33ETI04;94,12698413;1;1;4;62,2;58,4;35,5;134;4;3
y17;lim;b1;24;25;1;RGS135;D33ETI05;D33ETI05;94,6031746;1;1;2;63,8;71,2;39,1;135;5;5
y17;lim;b2;122;23;3;RGS136;D33ETI06;D33ETI06;77,61904762;1;1;3;65,7;79,9;41,5;136;6;3
y17;lim;b3;255;7;6;RGS137;D33ETI07;D33ETI07;73,01587302;4;6;5;64,5;85,7;38,2;137;3;8
y17;lim;b4;349;13;8;RGS138;D33ETI08;D33ETI08;89,52380952;1;1;3;66,5;75;41,7;138;5;7
y17;lim;b1;27;28;1;RGS139;D33ETI09;MER;95,23809524;1;1;1;66,5;91,8;43,1;139;4;4
y17;lim;b5;434;28;10;RGS140;D33ETI10;D33ETI10;87,93650794;1;1;4;63,8;66,5;38,9;140;2;3
y17;lim;b4;334;28;8;RGS141;D33ETI11;MER;95,23809524;1;1;1;66,9;94,1;46,9;141;2;3
y17;lim;b1;34;28;2;RGS142;D33ETI12;D33ETI12;93,65079365;1;1;4;67,7;73;39,4;142;4;3
y17;lim;b5;458;4;10;RGS143;D33ETI13;D33ETI13;84,6031746;1;1;4;64,5;76,1;39,1;143;7;3
y17;lim;b5;419;20;9;RGS144;D33ETI14;D33ETI14;95,23809524;1;1;3;63,8;60,9;37,5;144;4;3
y17;lim;b2;120;21;3;RGS145;D33ETI15;MER;85,87301587;1;1;1;65,3;87;45,5;145;3;3
y17;lim;b2;130;31;3;RGS146;D33ETI16;D33ETI16;86,50793651;1;1;4;63,8;76,7;39,2;146;4;3
y17;lim;b3;231;31;6;RGS147;D33ETI17;D33ETI17;96,66666667;1;1;3;64,2;69,6;38,3;147;7;4
y17;lim;b5;439;23;10;RGS148;D33ETI18;D33ETI18;89,20634921;1;1;2;65,3;86;45,7;148;2;4
y17;lim;b1;8;9;1;RGS149;D33ETI19;D33ETI19;95,23809524;1;1;1;66,8;90;42,9;149;3;3
y17;lim;b4;338;24;8;RGS150;D33ETI20;D33ETI20;96,19047619;1;5;5;66,1;69,1;42,9;150;3;3
y17;lim;b5;415;16;9;RGS151;D37QUA01;D37QUA01;76,98412698;5;6;6;63,8;81;39,8;151;1;3
y17;lim;b1;46;16;2;RGS152;D37QUA02;D37QUA02;71,42857143;4;5;4;63,8;89,9;45,5;152;1;2
y17;lim;b5;457;5;10;RGS153;D37QUA03;D37QUA03;75,23809524;7;7;6;60,3;73,2;39,5;153;1;3
y17;lim;b4;330;31;7;RGS154;D37QUA04;D37QUA04;99,36507937;4;3;4;66,5;95,6;50;154;1;2
y17;lim;b5;442;20;10;RGS155;D37QUA05;D37QUA05;100,7936508;6;7;5;64,9;87,5;41,3;155;1;4
y17;lim;b2;110;11;3;RGS156;D37QUA06;D37QUA06;72,22222222;2;3;3;66,1;92,1;46,5;156;1;3
y17;lim;b2;145;17;4;RGS157;D37QUA07;D37QUA07;84,92063492;2;1;2;68;91,8;47,2;157;1;5
y17;lim;b3;248;14;6;RGS158;D37QUA08;D37QUA08;89,04761905;2;2;4;61;71,9;39,1;158;1;3
y17;lim;b2;160;2;4;RGS159;D37QUA09;D37QUA09;88,41269841;1;1;1;64,9;85,1;40,5;159;2;3
y17;lim;b5;431;31;10;RGS160;D37QUA10;MER;98,88888889;1;1;3;66,1;92,6;47,6;160;1;3
y17;lim;b4;352;10;8;RGS161;D37QUA11;D37QUA11;81,42857143;1;1;4;60,6;38,5;32,8;161;1;3
y17;lim;b4;358;4;8;RGS162;D37QUA12;D37QUA12;91,74603175;6;6;4;63,8;84,6;43,1;162;1;4
y17;lim;b5;449;13;10;RGS163;D37QUA13;D37QUA13;82,22222222;8;7;6;64,5;78,9;46,1;163;2;5
y17;lim;b5;412;13;9;RGS164;D37QUA14;MER;105,7142857;1;1;1;66,5;92,6;45,7;164;1;5
y17;lim;b3;221;22;5;RGS165;D37QUA15;D37QUA15;96,50793651;1;2;3;66,9;77,7;44,2;165;1;7
y17;lim;b2;102;3;3;RGS166;D37QUA16;D37QUA16;73,80952381;1;1;1;63,8;64,5;37,9;166;1;7
y17;lim;b1;2;3;1;RGS167;D37QUA17;D37QUA17;86,98412698;4;3;4;66,5;78,3;44,1;167;2;6
y17;lim;b5;451;11;10;RGS168;D37QUA18;D37QUA18;83,65079365;2;3;4;64,5;81,8;45;168;2;5
y17;lim;b4;356;6;8;RGS169;D37QUA19;D37QUA19;93,01587302;2;5;4;66,1;82,6;43,9;169;2;4
y17;lim;b1;57;5;2;RGS170;D37QUA20;D37QUA20;74,12698413;7;7;7;62,2;75,3;42,7;170;1;3
y17;lim;b3;230;31;5;RGS171;D37QUA21;D37QUA21;95,07936508;3;5;3;66,1;80,7;42,6;171;1;6
y17;lim;b4;313;14;7;RGS172;D37QUA22;MER;105,8730159;1;1;1;65,3;89,8;43,5;172;1;3
y17;lim;b4;314;15;7;RGS173;D37QUA23;D37QUA23;103,3333333;1;1;3;63,8;74;40;173;1;3
y17;lim;b4;318;19;7;RGS174;D37QUA24;D37QUA24;86,66666667;7;6;7;62,6;70,7;41,8;174;1;3
y17;lim;b5;455;7;10;RGS175;D37QUA25;D37QUA25;94,12698413;1;1;4;67,7;92;45,9;175;1;5
y17;lim;b1;15;16;1;RGS176;D37QUA26;D37QUA26;83,33333333;3;4;4;63,4;75,8;38,3;176;1;3
y17;lim;b3;257;5;6;RGS177;D37QUA27;D37QUA27;71,42857143;1;5;5;63,8;68,2;40,7;177;1;5
y17;lim;b3;227;28;5;RGS178;D37QUA28;D37QUA28;85,71428571;2;4;3;63;83,1;43,5;178;1;2
y17;lim;b4;360;2;8;RGS179;D37QUA29;D37QUA29;86,98412698;2;2;4;NA;NA;NA;179;1;3
y17;lim;b2;151;11;4;RGS180;D37QUA30;MER;100;1;1;1;65,3;87,9;44,8;180;1;3
y17;lim;b2;146;16;4;RGS181;D37QUA31;D37QUA31;92,38095238;1;1;3;66,5;82,9;42,6;181;1;4
y17;lim;b5;403;4;9;RGS182;D37QUA32;D37QUA32;76,34920635;2;4;4;67,7;84,4;46,3;182;1;4
y17;lim;b4;325;26;7;RGS183;D37QUA33;D37QUA33;103,3333333;1;1;1;69,2;86,4;47,4;183;1;4
y17;lim;b3;202;3;5;RGS184;D37QUA34;D37QUA34;83,80952381;1;2;4;59,1;45,2;34,4;184;1;6
y17;lim;b5;409;10;9;RGS185;D37QUA35;D37QUA35;81,58730159;1;1;1;65,7;93;47,4;185;1;5
y17;lim;b5;402;3;9;RGS186;D37QUA36;D37QUA36;82,38095238;4;5;6;62,2;74,5;40;186;1;5
y17;lim;b5;406;7;9;RGS187;D37QUA37;D37QUA37;80,79365079;8;7;7;62,6;87,8;45,7;187;1;4
y17;lim;b1;1;2;1;RGS188;D37OTT01;MER;85,55555556;1;1;1;63,8;90,1;45,5;188;1;7
y17;lim;b1;7;8;1;RGS189;D37OTT02;D37OTT02;95,87301587;1;1;3;65,3;91,5;45,9;189;2;5
y17;lim;b4;337;25;8;RGS190;D37OTT03;D37OTT03;85,07936508;3;7;6;62,6;80,4;40,3;190;2;2
y17;lim;b5;404;5;9;RGS191;D37OTT04;D37OTT04;93,33333333;1;1;3;63,8;86,3;44,1;191;5;2
y17;lim;b1;43;19;2;RGS192;D37OTT05;D37OTT05;81,26984127;2;2;2;65,7;87,9;45,9;192;2;2
y17;lim;b5;410;11;9;RGS193;D37OTT06;D37OTT06;NA;6;7;6;62,2;62,6;37,5;193;1;3
y17;lim;b1;6;7;1;RGS194;D37OTT07;D37OTT07;83,96825397;1;1;3;66,1;81,5;39,2;194;2;3
y17;lim;b5;424;25;9;RGS195;D37OTT08;D37OTT08;84,12698413;8;7;7;64,9;83,6;48,5;195;3;3
y17;lim;b3;225;26;5;RGS196;D37OTT09;D37OTT09;91,11111111;1;1;2;63,8;77,9;42,2;196;2;3
y17;lim;b2;104;5;3;RGS197;D37OTT10;D37OTT10;79,36507937;1;1;1;61,4;79,5;42,6;197;2;4
y17;lim;b3;245;17;6;RGS198;D37OTT11;D37OTT11;83,33333333;1;1;2;65,3;90,5;47,8;198;1;3
y17;lim;b3;216;17;5;RGS199;D37OTT12;MER;80,47619048;2;2;3;64,2;91;45;199;2;6
y17;lim;b4;315;16;7;RGS200;D37OTT13;MER;100;1;1;1;65,3;89,5;43,3;200;1;3
y17;lim;b2;148;14;4;RGS201;ANTMER01;ANTMER01;95,55555556;1;1;2;63,8;81,4;38,3;201;1;2
y17;lim;b2;149;13;4;RGS202;ANTMER02;ANTMER02;99,36507937;1;1;1;64,5;87,2;40;202;1;3
y17;lim;b3;201;2;5;RGS203;ANTMER03;ANTMER03;88,41269841;1;1;2;64,2;84,6;41,7;203;1;2
y17;lim;b3;250;12;6;RGS204;ANTMER04;ANTMER04;93,80952381;1;1;2;64,5;91,3;43,3;204;1;2
y17;lim;b2;142;20;4;RGS205;ANTMER05;ANTMER05;92,38095238;1;1;1;62,6;72,4;37,6;205;1;2
y17;lim;b5;413;14;9;RGS206;ANTMER06;ANTMER06;107,9365079;1;1;1;64,5;96,2;49;206;1;2
y17;lim;b5;448;14;10;RGS207;ANTMER07;ANTMER07;98,0952381;1;1;2;63,4;93,6;45,9;207;1;3
y17;lim;b3;236;26;6;RGS208;ANTMER08;ANTMER08;99,52380952;1;1;1;62,6;86,1;41,5;208;1;2
y17;lim;b1;13;14;1;RGS209;ANTMER09;ANTMER09;103,015873;1;1;1;64,2;90,3;45,5;209;1;4
y17;lim;b5;427;28;9;RGS210;ANTMER10;ANTMER10;108,8888889;1;1;1;62,6;86,2;43,9;210;1;2
y17;lim;b5;422;23;9;RGS211;ANTMER11;ANTMER11;107,9365079;1;1;1;63,4;91,3;45,5;211;1;2
y17;lim;b4;319;20;7;RGS212;ANTMER12;ANTMER12;107,9365079;1;1;1;63,8;88,8;44,4;212;1;2
y17;lim;b3;203;4;5;RGS213;ANTMER13;ANTMER13;98,41269841;1;1;1;61,4;76,9;39,2;213;1;2
y17;lim;b3;218;19;5;RGS214;ANTMER14;ANTMER14;101,5873016;1;1;1;61,8;70,1;37,6;214;1;2
y17;lim;b4;339;23;8;RGS215;ANTMER15;ANTMER15;97,77777778;1;1;1;64,2;91,8;45,2;215;1;2
y17;lim;b1;37;25;2;RGS216;ANTMER16;ANTMER16;96,50793651;1;1;1;64,2;93,4;46,5;216;1;3
y17;lim;b4;345;17;8;RGS217;ANTQUA01;ANTQUA01;103,4920635;1;1;1;64,5;87,4;45,5;217;1;3
y17;lim;b1;38;24;2;RGS218;ANTQUA02;ANTQUA02;105,7142857;1;1;1;63;88;44,1;218;1;2
y17;lim;b3;226;27;5;RGS219;ANTQUA03;ANTQUA03;102,5396825;1;1;1;64,5;89,9;44,1;219;1;3
y17;lim;b2;127;28;3;RGS220;ANTQUA04;ANTQUA04;90;1;1;1;63,4;85,1;42,6;220;1;2
y17;lim;b1;19;20;1;RGS221;ANTQUA05;ANTQUA05;NA;1;1;1;63,8;62,2;39,2;221;1;2
y17;lim;b3;206;7;5;RGS222;ANTQUA06;ANTQUA06;94,92063492;1;1;2;64,9;63,9;37,9;222;1;2
y17;lim;b2;158;4;4;RGS223;ANTQUA07;ANTQUA07;103,8095238;1;1;1;65,3;85,4;40,5;223;1;1
